City,Country,Venue,Opening act(s),Revenue,Tour,Attendance,Tour_Year,Revenue_per_Attendee
Evansville,United States,Roberts Municipal Stadium,"Gloriana
Kellie Pickler",360617.0,Fearless_Tour,7463.0,2009,48.32064853276162
Jonesboro,United States,Convocation Center,"Gloriana
Kellie Pickler",340328.0,Fearless_Tour,7822.0,2009,43.50907696241371
St. Louis,United States,Scottrade Center,"Gloriana
Kellie Pickler",650420.0,Fearless_Tour,13764.0,2009,47.25515838419064
Alexandria,United States,Bishop Ireton High School,"Gloriana
Kellie Pickler",2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
North Charleston,United States,North Charleston Coliseum,"Gloriana
Kellie Pickler",398154.0,Fearless_Tour,8751.0,2009,45.498114501199865
Jacksonville,United States,Jacksonville Veterans Memorial Arena,"Gloriana
Kellie Pickler",507012.0,Fearless_Tour,11072.0,2009,45.79226878612717
Biloxi,United States,Mississippi Coast Coliseum,"Gloriana
Kellie Pickler",437313.0,Fearless_Tour,9436.0,2009,46.34516744383213
London,England,Shepherd's Bush Empire,No Opening Act,401328.0,Fearless_Tour,6789.0,2009,59.114449845338044
London,England,Shepherd's Bush Empire,No Opening Act,401328.0,Fearless_Tour,6789.0,2009,59.114449845338044
Spokane,United States,Spokane Arena,"Gloriana
Kellie Pickler",482146.0,Fearless_Tour,10798.0,2009,44.651416929060936
Seattle,United States,KeyArena,"Gloriana
Kellie Pickler",528637.0,Fearless_Tour,12061.0,2009,43.830279412984
Portland,United States,Rose Garden Arena,"Gloriana
Kellie Pickler",613284.0,Fearless_Tour,13226.0,2009,46.36957507938908
Nampa,United States,Ford Arena,"Gloriana
Kellie Pickler",413622.0,Fearless_Tour,8970.0,2009,46.11170568561873
Glendale,United States,Jobing.com Arena,"Gloriana
Kellie Pickler",647923.0,Fearless_Tour,13052.0,2009,49.64166411277965
Los Angeles,United States,Staples Center,"Gloriana
Kellie Pickler",720940.0,Fearless_Tour,13648.0,2009,52.823856975381005
Paradise,United States,Mandalay Bay Events Center,"Gloriana
Kellie Pickler",551051.0,Fearless_Tour,8311.0,2009,66.30381422211526
San Diego,United States,Valley View Casino Center,"Gloriana
Kellie Pickler",502689.0,Fearless_Tour,10174.0,2009,49.40918026341655
Salt Lake City,United States,EnergySolutions Arena,"Gloriana
Kellie Pickler",555207.0,Fearless_Tour,13042.0,2009,42.570694678730256
New Brockton,United States,BamaJam Farms,No Opening Act,2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Columbia,United States,Merriweather Post Pavilion,"Gloriana
Kellie Pickler",608438.0,Fearless_Tour,17619.0,2009,34.53306090016459
Greensboro,United States,Greensboro Coliseum,"Gloriana
Kellie Pickler",690959.0,Fearless_Tour,14641.0,2009,47.19342941055939
Oshkosh,United States,Ford Festival Park,No Opening Act,2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Cadott,United States,Amphitheatre Concert Grounds,No Opening Act,2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Calgary,Canada,Pengrowth Saddledome,"Gloriana
Kellie Pickler",2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Edmonton,Canada,Commonwealth Stadium,No Opening Act,2540906.0,Fearless_Tour,33910.0,2009,74.9308758478325
Craven,Canada,Big Valley Park,No Opening Act,2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Winnipeg,Canada,MTS Centre,"Gloriana
Kellie Pickler",512487.0,Fearless_Tour,11369.0,2009,45.07757938253145
Twin Lakes,United States,Country Thunder Festival,No Opening Act,2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Columbus,United States,Value City Arena,"Gloriana
Kellie Pickler",2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Charleston,United States,Charleston Civic Center,"Gloriana
Kellie Pickler",2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Cheyenne,United States,Cheyenne Frontier Days Arena,Kellie Pickler,2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Rapid City,United States,Barnett Arena,"Gloriana
Kellie Pickler",2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Minot,United States,North Dakota State Fair Grandstand,No Opening Act,2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Philadelphia,United States,Wachovia Spectrum,"Gloriana
Kellie Pickler",2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Detroit Lakes,United States,Soo Pass Ranch,No Opening Act,2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Omaha,United States,Qwest Center Omaha,"Gloriana
Kellie Pickler",2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Chelmsford,England,Hylands Park,No Opening Act,2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Weston-under-Lizard,England,Weston Park,No Opening Act,2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
New York City,United States,Madison Square Garden,"Gloriana
Kellie Pickler",976062.0,Fearless_Tour,13597.0,2009,71.78509965433551
Montville,United States,Mohegan Sun Arena,"Gloriana
Kellie Pickler",296306.0,Fearless_Tour,7507.0,2009,39.470627414413215
University Park,United States,Bryce Jordan Center,"Gloriana
Kellie Pickler",2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Louisville,United States,Freedom Hall,"Gloriana
Kellie Pickler",2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Duluth,United States,Arena at Gwinnett Center,"Gloriana
Kellie Pickler",2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Greenville,United States,Bi-Lo Center,"Gloriana
Kellie Pickler",2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Charlotte,United States,Time Warner Cable Arena,"Gloriana
Kellie Pickler",2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Lafayette,United States,Cajundome,"Gloriana
Kellie Pickler",2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Bossier City,United States,CenturyTel Center,"Gloriana
Kellie Pickler",2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Birmingham,United States,BJCC Arena,"Gloriana
Kellie Pickler",2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Nashville,United States,Bridgestone Arena,"Gloriana
Kellie Pickler",642387.0,Fearless_Tour,14269.0,2009,45.01976312285374
Dallas,United States,American Airlines Center,"Gloriana
Kellie Pickler",628062.0,Fearless_Tour,13794.0,2009,45.53153545019574
North Little Rock,United States,Verizon Arena,"Gloriana
Kellie Pickler",654089.0,Fearless_Tour,13978.0,2009,46.794176563170694
Tulsa,United States,BOK Center,"Gloriana
Kellie Pickler",2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Pittsburgh,United States,Mellon Arena,"Gloriana
Kellie Pickler",2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Grand Rapids,United States,Van Andel Arena,"Gloriana
Kellie Pickler",2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Cleveland,United States,Quicken Loans Arena,"Gloriana
Kellie Pickler",743492.0,Fearless_Tour,15524.0,2009,47.89306879670188
Indianapolis,United States,Conseco Fieldhouse,"Gloriana
Kellie Pickler",634876.0,Fearless_Tour,13373.0,2009,47.47446347117326
Rosemont,United States,Allstate Arena,"Gloriana
Kellie Pickler",1150896.0,Fearless_Tour,26265.0,2009,43.81861793260994
Rosemont,United States,Allstate Arena,"Gloriana
Kellie Pickler",1150896.0,Fearless_Tour,26265.0,2009,43.81861793260994
Minneapolis,United States,Target Center,"Gloriana
Kellie Pickler",623975.0,Fearless_Tour,13563.0,2009,46.005677210056774
London,England,Wembley Arena,Justin Bieber,2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Manchester,England,Manchester Evening News Arena,Justin Bieber,2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Brisbane,Australia,Brisbane Entertainment Centre,Gloriana,956505.0,Fearless_Tour,11334.0,2009,84.39253573319216
Sydney,Australia,Acer Arena,Gloriana,2030640.0,Fearless_Tour,27030.0,2009,75.12541620421753
Sydney,Australia,Acer Arena,Gloriana,2030640.0,Fearless_Tour,27030.0,2009,75.12541620421753
Newcastle,Australia,Newcastle Entertainment Centre,Gloriana,555396.0,Fearless_Tour,7180.0,2009,77.35320334261839
Melbourne,Australia,Rod Laver Arena,Gloriana,1627510.0,Fearless_Tour,23493.0,2009,69.27638019835696
Melbourne,Australia,Rod Laver Arena,Gloriana,1627510.0,Fearless_Tour,23493.0,2009,69.27638019835696
Adelaide,Australia,Adelaide Entertainment Centre,Gloriana,585352.0,Fearless_Tour,9066.0,2009,64.56562982572248
Tokyo,Japan,Zepp Tokyo,No Opening Act,2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Tampa,United States,St. Pete Times Forum,"Gloriana
Kellie Pickler",793049.0,Fearless_Tour,13861.0,2009,57.214414544405166
Orlando,United States,Amway Arena,"Gloriana
Kellie Pickler",598581.0,Fearless_Tour,11101.0,2009,53.921358436176924
Sunrise,United States,BankAtlantic Center,"Gloriana
Kellie Pickler",777442.0,Fearless_Tour,13453.0,2009,57.78948933323422
Austin,United States,Frank Erwin Center,"Gloriana
Kellie Pickler",642705.0,Fearless_Tour,11928.0,2009,53.88204225352113
Dallas,United States,American Airlines Center,"Gloriana
Kellie Pickler",742954.0,Fearless_Tour,14022.0,2009,52.98488090144059
Corpus Christi,United States,American Bank Center Arena,"Gloriana
Kellie Pickler",501169.0,Fearless_Tour,8423.0,2009,59.500059361272704
Philadelphia,United States,Wells Fargo Center,"Gloriana
Kellie Pickler",2002321.0,Fearless_Tour,30360.0,2009,65.95260210803688
Philadelphia,United States,Wells Fargo Center,"Gloriana
Kellie Pickler",2002321.0,Fearless_Tour,30360.0,2009,65.95260210803688
Charlottesville,United States,John Paul Jones Arena,"Gloriana
Kellie Pickler",664305.0,Fearless_Tour,11858.0,2009,56.021673132062745
Auburn Hills,United States,The Palace of Auburn Hills,"Gloriana
Kellie Pickler",1711591.0,Fearless_Tour,29125.0,2009,58.767072961373394
Auburn Hills,United States,The Palace of Auburn Hills,"Gloriana
Kellie Pickler",1711591.0,Fearless_Tour,29125.0,2009,58.767072961373394
Cincinnati,United States,U.S. Bank Arena,"Gloriana
Kellie Pickler",645592.0,Fearless_Tour,11208.0,2009,57.60099928622412
Oklahoma City,United States,Ford Center,"Gloriana
Kellie Pickler",675184.0,Fearless_Tour,11795.0,2009,57.24323866044934
Wichita,United States,Intrust Bank Arena,"Gloriana
Kellie Pickler",610801.0,Fearless_Tour,11208.0,2009,54.49687723054961
Kansas City,United States,Sprint Center,"Gloriana
Kellie Pickler",761110.0,Fearless_Tour,13781.0,2009,55.228938393440245
Denver,United States,Pepsi Center,"Gloriana
Kellie Pickler",1497135.0,Fearless_Tour,25991.0,2009,57.602054557346776
Denver,United States,Pepsi Center,"Gloriana
Kellie Pickler",1497135.0,Fearless_Tour,25991.0,2009,57.602054557346776
Fresno,United States,Save Mart Center,"Gloriana
Kellie Pickler",649488.0,Fearless_Tour,11706.0,2009,55.483341875961045
San Jose,United States,HP Pavilion,"Gloriana
Kellie Pickler",716726.0,Fearless_Tour,12744.0,2009,56.240269930947896
Los Angeles,United States,Staples Center,"Gloriana
Kellie Pickler",1736197.0,Fearless_Tour,27518.0,2009,63.09313903626717
Los Angeles,United States,Staples Center,"Gloriana
Kellie Pickler",1736197.0,Fearless_Tour,27518.0,2009,63.09313903626717
Lexington,United States,Rupp Arena,"Gloriana
Kellie Pickler",1024223.0,Fearless_Tour,17966.0,2009,57.00896137147946
Columbia,United States,Colonial Life Arena,"Gloriana
Kellie Pickler",755475.0,Fearless_Tour,13429.0,2009,56.25698116017574
Raleigh,United States,RBC Center,"Gloriana
Kellie Pickler",752303.0,Fearless_Tour,13895.0,2009,54.141993522849944
Des Moines,United States,Wells Fargo Arena,"Gloriana
Kellie Pickler",738280.0,Fearless_Tour,13264.0,2009,55.66043425814234
Saint Paul,United States,Xcel Energy Center,"Gloriana
Kellie Pickler",846111.0,Fearless_Tour,14914.0,2009,56.73266729247687
Moline,United States,iWireless Center,"Gloriana
Kellie Pickler",610668.0,Fearless_Tour,10641.0,2009,57.3882153932901
Newark,United States,Prudential Center,"Gloriana
Kellie Pickler",1742669.0,Fearless_Tour,26065.0,2009,66.85858430845963
Newark,United States,Prudential Center,"Gloriana
Kellie Pickler",1742669.0,Fearless_Tour,26065.0,2009,66.85858430845963
Uniondale,United States,Nassau Veterans Memorial Coliseum,"Gloriana
Kellie Pickler",1713529.0,Fearless_Tour,25831.0,2009,66.33614649065076
Uniondale,United States,Nassau Veterans Memorial Coliseum,"Gloriana
Kellie Pickler",1713529.0,Fearless_Tour,25831.0,2009,66.33614649065076
Ottawa,Canada,Scotiabank Place,"Gloriana
Kellie Pickler",873206.0,Fearless_Tour,13376.0,2009,65.2815490430622
Toronto,Canada,Air Canada Centre,"Gloriana
Kellie Pickler",2497690.0,Fearless_Tour,30458.0,2009,82.00439950095213
Toronto,Canada,Air Canada Centre,"Gloriana
Kellie Pickler",2497690.0,Fearless_Tour,30458.0,2009,82.00439950095213
Houston,United States,Toyota Center,"Gloriana
Kellie Pickler",1290926.0,Fearless_Tour,23493.0,2009,54.94938917975567
Houston,United States,Toyota Center,"Gloriana
Kellie Pickler",1290926.0,Fearless_Tour,23493.0,2009,54.94938917975567
Baton Rouge,United States,Tiger Stadium,No Opening Act,2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Washington,United States,Verizon Center,"Gloriana
Kellie Pickler",1824743.0,Fearless_Tour,27290.0,2009,66.86489556614144
Washington,United States,Verizon Center,"Gloriana
Kellie Pickler",1824743.0,Fearless_Tour,27290.0,2009,66.86489556614144
Foxborough,United States,Gillette Stadium,"Gloriana
Justin Bieber
Kellie Pickler",3726157.0,Fearless_Tour,56868.0,2009,65.52291271013576
Nassau,The Bahamas,Imperial Ballroom,"Gloriana
Kellie Pickler",2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
Cavendish,Canada,Cavendish Beach Festival Grounds,No Opening Act,2054690.0,Fearless_Tour,35000.0,2009,58.70542857142857
Singapore,Singapore,Singapore Indoor Stadium,Sezairi Sezali,916850.0,Speak_Now_World_Tour,8964.0,2011,102.28134761267292
Seoul,South Korea,Olympic Gymnastics Arena,No Opening Act,385374.0,Speak_Now_World_Tour,4725.0,2011,81.56063492063493
Osaka,Japan,Osaka-Jo Hall,No Opening Act,758113.0,Speak_Now_World_Tour,6953.0,2011,109.03394218323027
Tokyo,Japan,Nippon Budokan,No Opening Act,1738227.0,Speak_Now_World_Tour,15955.0,2011,108.94559699153871
Tokyo,Japan,Nippon Budokan,No Opening Act,1738227.0,Speak_Now_World_Tour,15955.0,2011,108.94559699153871
Quezon City,Philippines,Smart Araneta Coliseum,Sam Concepcion,859037.0,Speak_Now_World_Tour,12667.0,2011,67.81692587037183
Hong Kong,Hong Kong,AsiaWorldArena,Saito Johnny,1030633.0,Speak_Now_World_Tour,12573.0,2011,81.97192396404995
Brussels,Belgium,Forest National,Tom Dice,219212.0,Speak_Now_World_Tour,4622.0,2011,47.42795326698399
Rotterdam,Netherlands,Sportpaleis van Ahoy,Tom Dice,248314.0,Speak_Now_World_Tour,4799.0,2011,51.74286309647843
Oslo,Norway,Oslo Spektrum,No Opening Act,815246.0,Speak_Now_World_Tour,8650.0,2011,94.24809248554914
Oberhausen,Germany,König Pilsener Arena,Martin & James,370028.0,Speak_Now_World_Tour,6082.0,2011,60.839855310753045
Milan,Italy,Mediolanum Forum,Emma Marrone,153303.0,Speak_Now_World_Tour,3421.0,2011,44.81233557439345
Paris,France,Zénith de Paris,No Opening Act,201781.0,Speak_Now_World_Tour,3598.0,2011,56.08143413007226
Madrid,Spain,Palacio de los Deportes,The Bright,251864.0,Speak_Now_World_Tour,3962.0,2011,63.56991418475518
Birmingham,England,LG Arena,Martin & James,508854.0,Speak_Now_World_Tour,9339.0,2011,54.48699004176036
Belfast,Northern Ireland,Odyssey Arena,Ryan Sheridan,379001.0,Speak_Now_World_Tour,8058.0,2011,47.03412757508067
Dublin,Ireland,The O2,Ryan Sheridan,419806.0,Speak_Now_World_Tour,8681.0,2011,48.35917521022924
Manchester,England,Manchester Evening News Arena,Martin & James,580558.0,Speak_Now_World_Tour,10488.0,2011,55.354500381388256
London,England,The O2 Arena,Martin & James,891152.0,Speak_Now_World_Tour,15265.0,2011,58.378774975434
Omaha,United States,Qwest Center Omaha,Needtobreathe,1717104.0,Speak_Now_World_Tour,26992.0,2011,63.61529342027267
Omaha,United States,Qwest Center Omaha,Needtobreathe,1717104.0,Speak_Now_World_Tour,26992.0,2011,63.61529342027267
Des Moines,United States,Wells Fargo Arena,Needtobreathe,862771.0,Speak_Now_World_Tour,13149.0,2011,65.61495170735417
Sunrise,United States,BankAtlantic Center,Needtobreathe,1582951.0,Speak_Now_World_Tour,24077.0,2011,65.74535864102671
Sunrise,United States,BankAtlantic Center,Needtobreathe,1582951.0,Speak_Now_World_Tour,24077.0,2011,65.74535864102671
Orlando,United States,Amway Center,Needtobreathe,791980.0,Speak_Now_World_Tour,12262.0,2011,64.58815853857446
Columbus,United States,Nationwide Arena,Needtobreathe,955259.0,Speak_Now_World_Tour,14817.0,2011,64.47047310521698
Milwaukee,United States,Bradley Center,Needtobreathe,897042.0,Speak_Now_World_Tour,13748.0,2011,65.24890893220832
Detroit,United States,Ford Field,Needtobreathe,3453549.0,Speak_Now_World_Tour,47992.0,2011,71.96093098849808
Saint Paul,United States,Xcel Energy Center,Needtobreathe,1913737.0,Speak_Now_World_Tour,28977.0,2011,66.0433102115471
Saint Paul,United States,Xcel Energy Center,Needtobreathe,1913737.0,Speak_Now_World_Tour,28977.0,2011,66.0433102115471
Pittsburgh,United States,Heinz Field,Needtobreathe,4009118.0,Speak_Now_World_Tour,52009.0,2011,77.08508142821435
Buffalo,United States,First Niagara Center,Needtobreathe,966749.0,Speak_Now_World_Tour,14487.0,2011,66.73217367294816
Hartford,United States,XL Center,Needtobreathe,810165.0,Speak_Now_World_Tour,12436.0,2011,65.14675136699904
Foxborough,United States,Gillette Stadium,Needtobreathe,8026350.0,Speak_Now_World_Tour,110800.0,2011,72.43998194945848
Foxborough,United States,Gillette Stadium,Needtobreathe,8026350.0,Speak_Now_World_Tour,110800.0,2011,72.43998194945848
Greensboro,United States,Greensboro Coliseum,Needtobreathe,990701.0,Speak_Now_World_Tour,14789.0,2011,66.98904591250253
Knoxville,United States,ThompsonBoling Arena,Needtobreathe,903875.0,Speak_Now_World_Tour,13754.0,2011,65.71724589210412
Montreal,Canada,Bell Centre,Needtobreathe,1254230.0,Speak_Now_World_Tour,13439.0,2011,93.32762854379047
